,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
1147,5275,female,1971/7/31,47,45-49,2017/7/21,2017,,,0.437794467,0.4-0.44,0.11050689,1222.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
1148,103747,female,1944/5/2,74,70-74,1998/10/31,1998,,,0.448626836,0.4-0.44,0.099227434,1223.0,1.0,0.0,0.0,1.0,0.0,2.0,2,C,0
1149,16297,female,1975/3/17,44,40-44,2004/2/28,2004,,,0.437264244,0.4-0.44,0.110481851,1224.0,1.0,0.0,0.0,0.0,0.0,1.0,2,D,0
1150,21900,female,1948/3/28,71,70-74,2004/6/11,2004,,,0.448055126,0.4-0.44,0.099188092,1225.0,1.0,0.0,0.0,1.0,0.0,2.0,0,A,0
1152,114918,female,1949/2/1,70,65-69,1972/5/6,1972,,,0.436214067,0.4-0.44,0.110830822,1227.0,1.0,0.0,0.0,1.0,1.0,3.0,2,A,0
1155,23520,male,1977/3/11,42,40-44,2001/9/4,2001,,,0.435832259,0.4-0.44,0.110414027,1230.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1156,146902,female,1951/1/24,68,65-69,2006/2/26,2006,,,0.438114136,0.4-0.44,0.1067759,1231.0,0.0,1.0,1.0,0.0,0.0,2.0,2,D,0
1157,14883,male,1950/2/27,69,65-69,2014/8/21,2014,,,0.437778454,0.4-0.44,0.106756896,1232.0,0.0,1.0,1.0,0.0,0.0,2.0,2,D,0
1158,26622,female,1952/2/26,67,65-69,2013/7/19,2013,,,0.433708553,0.4-0.44,0.110089454,1233.0,0.0,1.0,0.0,1.0,1.0,3.0,2,B,0
1159,48774,female,1976/6/15,42,40-44,2002/9/10,2002,,,0.433204866,0.4-0.44,0.110288836,1234.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1160,40457,male,1974/7/28,44,40-44,2016/8/4,2016,,,0.433201639,0.4-0.44,0.110288682,1235.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1162,8632,female,1955/2/17,64,60-64,1991/5/1,1991,,,0.432907818,0.4-0.44,0.109917384,1238.0,0.0,1.0,1.0,0.0,1.0,3.0,2,C,0
